"ID","Name","Date","Elected","CabinetNow","CabinetImportant","CabinetPM","TermsServed","Party","PartyInGovt"
3389,"GROVER, FRANK","1999-11-27",0,0,0,0,1,"Alliance",0
3405,"PECK, Mark","2005-09-17",0,0,0,0,4,"Labour",1
3441,"WHITE, JILL","1999-11-27",0,0,0,0,2,"Labour",0
3460,"Lee, G","1996-10-12",0,0,0,0,1,"National",1
3504,"HENARE, Tau","2014-09-20",0,0,0,0,3,"National",1
3512,"BUNKLE, PHILLIDA","1999-11-27",0,0,0,0,1,"Alliance",0
3656,"CARTER, C","1996-10-12",0,0,0,0,1,"Labour",0
3664,"SUTTON, Jim","2008-11-08",0,1,0,0,5,"Labour",1
3667,"SINCLAIR, S","1996-10-12",0,0,0,0,1,"Labour",0
3716,"O'CONNOR, DAMIEN","1999-11-27",0,0,0,0,2,"Labour",0
3734,"DONNELLY, Brian","2008-11-08",0,0,0,0,4,"NZF",0
3745,"CARTER, David","2008-11-08",0,0,0,0,5,"National",0
3746,"HOBBS, Marian","2008-11-08",0,0,0,0,4,"Labour",1
3765,"HIDE, Rodney","2011-11-26",0,0,0,0,5,"ACT",0
3778,"DONALD, Rod","2008-11-08",0,0,0,0,4,"GP",0
3792,"BARNETT, Tim","2008-11-08",0,0,0,0,4,"Labour",1
3828,"CULLEN, MICHAEL","1999-11-27",0,0,0,0,1,"Labour",0
3836,"DUNCAN, Helen","2005-09-17",0,0,0,0,2,"Labour",1
3854,"KIRTON, NEIL FRANCIS","1999-11-27",0,0,0,0,1,"NZF",1
3866,"MORRIS, DEBORAH","1999-11-27",0,0,0,0,1,"NZF",1
3883,"EWEN STREET, Ian","2005-09-17",0,0,0,0,2,"GP",0
3899,"KELLY, Graham","2002-07-27",0,0,0,0,2,"Labour",1
3915,"ROBERTSON, Ross","2014-09-20",0,0,0,0,6,"Labour",0
3958,"MAPP, Wayne","2011-11-26",0,1,1,0,5,"National",1
3959,"QUIGLEY, DEREK FRANCIS","1999-11-27",0,0,0,0,1,"ACT",0
3961,"BATTEN, ANN","1999-11-27",0,0,0,0,1,"NZF",1
3976,"CARTER, John","2011-11-26",0,0,0,0,5,"National",1
3986,"SHIRLEY, KEN","1999-11-27",0,0,0,0,1,"ACT",0
4000,"SOWRY, Roger","2005-09-17",0,0,0,0,3,"National",0
4006,"CLARK, HELEN","1999-11-27",0,0,0,0,1,"Labour",0
4044,"SMITH, Lockwood","2011-11-26",0,0,0,0,5,"National",1
4045,"LEE, MIKE","1999-11-27",0,0,0,0,1,"Alliance",0
4064,"BRADFORD, Max","2002-07-27",0,0,0,0,2,"National",0
4074,"HUNT, Jonathan","2002-07-27",0,0,0,0,2,"Labour",1
4075,"SCHNAUER, PATRICIA","1999-11-27",0,0,0,0,1,"ACT",0
4084,"CAMPBELL, Kevin Thomas","2002-07-27",0,0,0,0,1,"Alliance",1
4125,"DELAMERE, JOHN","1999-11-27",0,0,0,0,1,"NZF",1
4130,"HAWKE, JOE","1999-11-27",0,0,0,0,1,"Labour",0
4147,"MOORE, MIKE","1999-11-27",0,0,0,0,1,"Labour",0
4153,"CARTER, Chris","2011-11-26",0,1,0,0,4,"Labour",0
4154,"ELDER, JACK ARNOLD","1999-11-27",0,0,0,0,1,"NZF",1
4215,"ARDERN, Shane","2014-09-20",0,0,0,0,6,"National",1
4267,"DALZIEL, Lianne","2014-09-20",0,0,0,0,5,"Labour",0
4285,"RICH, Katherine","2008-11-08",0,0,0,0,3,"National",0
