Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Maungakiekie	9/17/2005	OGILVY, Bernie	UFNZ	619	0	
Maungakiekie	9/17/2005	FONUA, Sione Tuitavake	Progressive	564	0	
Maungakiekie	9/17/2005	SO'E, Ned	DNZ	355	0	
Maungakiekie	9/17/2005	PURU, Bill	Maori	263	0	
Maungakiekie	9/17/2005	REID, Christine Anne	NZFRP	70	0	
Maungakiekie	9/17/2005	BROWN, Patrick	CL	54	0	
Maungakiekie	9/17/2005	ANDERSON, Alastair	DDP	47	0	
Maungakiekie	9/17/2005	BERG, Bevan	NZRP	14	0	
Mt Albert	9/17/2005	CLARK, Helen Elizabeth	Labour	20918	1	
Mt Albert	9/17/2005	MUSUKU, Ravi	National	6169	0	
Mt Albert	9/17/2005	CARAPIET, Jon	GP	1485	0	
Mt Albert	9/17/2005	BATCHELOR, Julian	NZF	746	0	
Mt Albert	9/17/2005	SEYMOUR, David	ACT	746	0	
Mt Albert	9/17/2005	GORDON, Tony	UFNZ	529	0	
Mt Albert	9/17/2005	WILLIAMSON, Anne	DNZ	337	0	
Mt Albert	9/17/2005	WILSON, Jenny	Progressive	233	0	
Mt Albert	9/17/2005	BAGNALL, James	I	83	0	
Mt Albert	9/17/2005	WHITMORE, Daphna Kaye	ACAP	79	0	
Mt Albert	9/17/2005	RAVLICH, Anthony George	HR	47	0	
Mt Albert	9/17/2005	PONGA, Howard	DDP	30	0	
Mt Albert	9/17/2005	TAYLOR, Erik John	I	29	0	
Mt Roskill	9/17/2005	GOFF, Phil	Labour	19476	1	
Mt Roskill	9/17/2005	BLUE, Jackie	National	9581	0	
Mt Roskill	9/17/2005	WANG, Kenneth	ACT	1882	0	
Mt Roskill	9/17/2005	BARTER, Richard	UFNZ	860	0	
Mt Roskill	9/17/2005	ANE, Brian Kosena	DNZ	338	0	
Mt Roskill	9/17/2005	AMIRAPU, Suki	Progressive	257	0	
Mt Roskill	9/17/2005	SCOTT, Barry	DDP	98	0	
Napier	9/17/2005	TREMAIN, Chris	National	17955	1	
Napier	9/17/2005	FAIRBROTHER, Russell	Labour	14364	0	
Napier	9/17/2005	CREIGHTON, Terry	GP	1391	0	
Napier	9/17/2005	MIST, James	NZF	855	0	
Napier	9/17/2005	TURNER, Graham	UFNZ	473	0	
Napier	9/17/2005	SINNOTT, Stephen	DNZ	193	0	
Nelson	9/17/2005	SMITH, Nick	National	20299	1	
Nelson	9/17/2005	McCUTCHEON, Jen	Labour	10073	0	
Nelson	9/17/2005	WARD, Mike	GP	4269	0	
Nelson	9/17/2005	WELLS, Dennis	UFNZ	568	0	
Nelson	9/17/2005	THOMSON, Jason	DNZ	383	0	
Nelson	9/17/2005	McALPINE, Jacqueline M	Progressive	252	0	
Nelson	9/17/2005	BARBER, Nick	CHNZ	209	0	
Nelson	9/17/2005	FITZSIMON, Anne	Maori	165	0	
Nelson	9/17/2005	HEINE, Mike	ACT	144	0	
Nelson	9/17/2005	NEWEY, Rex	DDP	67	0	
New Lynn	9/17/2005	CUNLIFFE, David	Labour	18087	1	
New Lynn	9/17/2005	HARRIS, Mita	National	10009	0	
New Lynn	9/17/2005	GREEN, Richard A	GP	1644	0	
New Lynn	9/17/2005	DRAKE, Anne	UFNZ	943	0	
New Lynn	9/17/2005	STEINIJANS, Barbara	ACT	701	0	
New Lynn	9/17/2005	PENNEY, Karen	DNZ	468	0	
New Lynn	9/17/2005	KAZEMI YAZDI, Seyed Mohammed	Progressive	282	0	
New Lynn	9/17/2005	BURCH, Gary	DDP	98	0	
New Plymouth	9/17/2005	DUYNHOVEN, Harry	Labour	17512	1	
New Plymouth	9/17/2005	IRVING, Moira	National	12073	0	
New Plymouth	9/17/2005	BROWN, Sarah	GP	1165	0	
New Plymouth	9/17/2005	ROBERTS, Kerin	DNZ	555	0	
New Plymouth	9/17/2005	COLLIER, Matt	UFNZ	539	0	
New Plymouth	9/17/2005	RUAKERE, Tony	Maori	312	0	
New Plymouth	9/17/2005	O'CONNOR, Kerry	ACT	301	0	
New Plymouth	9/17/2005	KANE, Rusty	I	252	0	
New Plymouth	9/17/2005	SMITH, Kevin	DDP	121	0	
New Plymouth	9/17/2005	WEBBER, Michael St George	LIB	89	0	
North Shore	9/17/2005	MAPP, Wayne	National	21975	1	
North Shore	9/17/2005	TWYFORD, Phil	Labour	12274	0	
North Shore	9/17/2005	TIZARD, Ross	UFNZ	865	0	
North Shore	9/17/2005	KEARNEY, Nick	ACT	835	0	
North Shore	9/17/2005	GILLON, Paula	Progressive	544	0	
North Shore	9/17/2005	HARRISON, Raewyn	Maori	265	0	
North Shore	9/17/2005	MURPHY, Michael Myles	LIB	140	0	
Northcote	9/17/2005	COLEMAN, Jonathan	National	16854	1	
Northcote	9/17/2005	HARTLEY, Ann	Labour	14471	0	
Northcote	9/17/2005	MANNING, Paul Trevor	NZF	833	0	
Northcote	9/17/2005	GILLON, Grant	Progressive	611	0	
Northcote	9/17/2005	DAWSON, Dianne	ACT	435	0	
Northcote	9/17/2005	STONE, Beth	UFNZ	389	0	
Northcote	9/17/2005	HESLOP, Nigel Ian	DNZ	268	0	
Northcote	9/17/2005	WAAKA, Frances	Maori	227	0	
Northcote	9/17/2005	LINTON, Peter John	LIB	55	0	
Northland	9/17/2005	CARTER, John	National	16577	1	
Northland	9/17/2005	JONES, Shane Geoffrey	Labour	7302	0	
Northland	9/17/2005	BRADFORD, Sue	GP	2764	0	
Northland	9/17/2005	PETERS, Jim	NZF	2547	0	
Northland	9/17/2005	PERI, Malcolm M	Maori	550	0	
Northland	9/17/2005	JOHNSON, Phil	UFNZ	315	0	
Northland	9/17/2005	ISAACHSEN, David	DNZ	278	0	
Northland	9/17/2005	McCLELLAND, Tom	ACT	216	0	
Northland	9/17/2005	PISTORIUS, Julian Leonard	LIB	51	0	
Northland	9/17/2005	PHILLIPS, Gray Andrew	NZRP	18	0	
Northland	9/17/2005	WHAANGA, Mel	DDP	10	0	
Ohariu-Belmont	9/17/2005	DUNNE, Peter	UFNZ	16844	1	
Ohariu-Belmont	9/17/2005	CHAUVEL, Charles	Labour	9142	0	
Ohariu-Belmont	9/17/2005	SHANKS, Katrina May	National	7329	0	
Ohariu-Belmont	9/17/2005	SAPSFORD, Roland	GP	1877	0	
Ohariu-Belmont	9/17/2005	ROY, Heather	ACT	744	0	
Ohariu-Belmont	9/17/2005	MANU, Timothy	NZF	433	0	
Ohariu-Belmont	9/17/2005	SANDYS, Elspeth Somerville	Progressive	242	0	
Ohariu-Belmont	9/17/2005	CROSS, Colin Linden	LIB	82	0	
Otago	9/17/2005	DEAN, Jacqui	National	17364	1	
Otago	9/17/2005	PARKER, David	Labour	15369	0	
Otago	9/17/2005	PEARCE, Jane	GP	1596	0	
Otago	9/17/2005	ECKHOFF, Gerry	ACT	848	0	
Otago	9/17/2005	TELFORD, Gerald	UFNZ	620	0	
Otago	9/17/2005	SILCOCK, Barry John	Progressive	270	0	
Otago	9/17/2005	PROSSER, Richard Ivor	NZDSC	133	0	
Otago	9/17/2005	GUY, Simon	DDP	88	0	
Otaki	9/17/2005	HUGHES, Darren	Labour	17556	1	
Otaki	9/17/2005	GUY, Nathan	National	17174	0	
Otaki	9/17/2005	PERRY, Chris	NZF	1043	0	
Otaki	9/17/2005	FISHER, Nick	GP	1022	0	
Otaki	9/17/2005	BROWN, Diane	UFNZ	611	0	
Otaki	9/17/2005	ORZECKI, Richard E	Maori	353	0	
Otaki	9/17/2005	FRANKLIN, Russell	Progressive	303	0	
Otaki	9/17/2005	EWING-JARVIE, Simon	ACT	163	0	
Otaki	9/17/2005	JEUNE, Margaret	Alliance	97	0	
Otaki	9/17/2005	ATACK, Robert T	DDP	47	0	
Pakuranga	9/17/2005	WILLIAMSON, Maurice	National	19159	1	
Pakuranga	9/17/2005	WOOD, Michael Philip	Labour	9577	0	
Pakuranga	9/17/2005	BARON, Steve	I	1807	0	
Pakuranga	9/17/2005	PARAONE, Pita	NZF	1398	0	
Pakuranga	9/17/2005	JACOBSEN, Bronny	ACT	1216	0	
Pakuranga	9/17/2005	McINNES, Ian	UFNZ	833	0	
Pakuranga	9/17/2005	LY, Meng	Progressive	560	0	
Pakuranga	9/17/2005	JESZE, David	DNZ	488	0	
Pakuranga	9/17/2005	McQUEEN, Ewen	CHNZ	373	0	
Pakuranga	9/17/2005	MOORE, Kevin David	DDP	49	0	
Palmerston North	9/17/2005	MAHAREY, Steven	Labour	17263	1	
Palmerston North	9/17/2005	PLIMMER, Malcolm	National	11763	0	
Palmerston North	9/17/2005	O'HALLORAN, Lawrence	GP	1141	0	
Palmerston North	9/17/2005	ODERING, Graham	NZF	853	0	
Palmerston North	9/17/2005	PEDERSEN, Garry	UFNZ	627	0	
Palmerston North	9/17/2005	PATCHETT, Dawn	Progressive	251	0	
Palmerston North	9/17/2005	CHATHA, Arshad	I	147	0	
Piako	9/17/2005	TISCH, Lindsay	National	18610	1	
Piako	9/17/2005	MORONEY, Sue	Labour	10259	0	
Piako	9/17/2005	STEWART, Barbara	NZF	2219	0	
Piako	9/17/2005	LEE, Stephen	GP	1028	0	
Piako	9/17/2005	SEDDON, Martyn	UFNZ	509	0	
Piako	9/17/2005	DAVIES, Mark	ACT	495	0	
Piako	9/17/2005	DONALD, Ian	Progressive	273	0	
Piako	9/17/2005	RANBY, Colin	DNZ	244	0	
Piako	9/17/2005	AWA, Hori	Maori	237	0	
Port Waikato	9/17/2005	HUTCHISON, Paul	National	22616	1	
Port Waikato	9/17/2005	WALL, Louisa	Labour	9118	0	
Port Waikato	9/17/2005	DAW, Bob	NZF	1703	0	
Port Waikato	9/17/2005	OLSEN, David	ACT	544	0	
Port Waikato	9/17/2005	PRASAD, Jayati	UFNZ	403	0	
Port Waikato	9/17/2005	PEITA, Josie	Maori	402	0	
Port Waikato	9/17/2005	KEVEN, Rod	DNZ	306	0	
Port Waikato	9/17/2005	PANIRAU, Max Shannon	Progressive	279	0	
Port Waikato	9/17/2005	STRATTON, Craig	DDP	82	0	
Port Waikato	9/17/2005	HART, Steven	RONZP	77	0	
Rakaia	9/17/2005	CONNELL, Brian	National	20950	1	
Rakaia	9/17/2005	MILNE, Tony Robert	Labour	10502	0	
Rakaia	9/17/2005	MATHERS, Mojo	GP	1631	0	
Rakaia	9/17/2005	DAVIDSON, Brian	ACT	1209	0	
Rakaia	9/17/2005	BARR, Graeme	UFNZ	1172	0	
Rakaia	9/17/2005	MAIN, Philippa	Progressive	796	0	
Rangitikei	9/17/2005	POWER, Simon	National	19119	1	
Rangitikei	9/17/2005	BROWN, Marilyn	Labour	9459	0	
Rangitikei	9/17/2005	STRAWBRIDGE, Murray	NZF	1335	0	
Rangitikei	9/17/2005	MOODIE, Rob	UFNZ	718	0	
Rangitikei	9/17/2005	PEIRCE, Richard	RF	426	0	
Rangitikei	9/17/2005	HEPI, Abe J	Maori	369	0	
Rangitikei	9/17/2005	WAUGH, John	ACT	215	0	
Rimutaka	9/17/2005	SWAIN, Paul	Labour	18681	1	
Rimutaka	9/17/2005	LEDDY, Mike	National	10404	0	
Rimutaka	9/17/2005	McCLELLAND, Bernard	UFNZ	1777	0	
Rimutaka	9/17/2005	MORRIS, Michael	GP	1243	0	
Rimutaka	9/17/2005	FOWLER, David	NZF	1094	0	
Rimutaka	9/17/2005	REYNOLDS, Dave	I	549	0	
Rimutaka	9/17/2005	KEARNEY, Nigel	ACT	380	0	
Rodney	9/17/2005	SMITH, Lockwood	National	20651	1	
Rodney	9/17/2005	DUNLOP, Tony	Labour	9115	0	
Rodney	9/17/2005	McNAIR, Craig	NZF	3496	0	
Rodney	9/17/2005	EVANS, Graham	GP	1918	0	
Rodney	9/17/2005	MOUNTAIN, Peter	UFNZ	997	0	
Rodney	9/17/2005	BROWN, Christopher	ACT	450	0	
Rodney	9/17/2005	SHARROCK, Tony	Progressive	332	0	
Rodney	9/17/2005	DICK, Adell M	Maori	166	0	
Rodney	9/17/2005	PUNTER, Colin	DDP	36	0	
Rongotai	9/17/2005	KING, Annette Faye	Labour	21376	1	
Rongotai	9/17/2005	YOUNG, Nicola M J	National	8738	0	
Rongotai	9/17/2005	HIGHFIELD, Luci	GP	2921	0	
Rongotai	9/17/2005	COPELAND, Gordon	UFNZ	1581	0	
Rongotai	9/17/2005	LOVE, Morris Te Whiti	Maori	499	0	
Rongotai	9/17/2005	MIDDLETON, Gavin	ACT	425	0	
Rongotai	9/17/2005	BELL, Vladimir	Progressive	333	0	
Rongotai	9/17/2005	BROOKS, Jocelyn	Alliance	127	0	
Rotorua	9/17/2005	CHADWICK, Stephanie (Steve)	Labour	12420	1	
Rotorua	9/17/2005	STEHBENS, Gil	National	11758	0	
Rotorua	9/17/2005	JUDD, Russell	UFNZ	2119	0	
Rotorua	9/17/2005	TABUTEAU, Fletcher H	NZF	2055	0	
Rotorua	9/17/2005	SAVILLE, Raewyn	GP	1131	0	
Rotorua	9/17/2005	HERBERT, Elaine	DNZ	604	0	
Rotorua	9/17/2005	PETERSON, Carl	ACT	378	0	
Tainui	9/17/2005	MAHUTA, Nanaia	Labour	9469	1	
Tainui	9/17/2005	GREENSILL, Angeline	Maori	7609	0	
Tainui	9/17/2005	SOLOMON, Hayden	DNZ	589	0	
Tainui	9/17/2005	POPE, Andrew	I	308	0	
Tamaki	9/17/2005	PEACHEY, Allan	National	20956	1	
Tamaki	9/17/2005	BOYLE, Leila	Labour	11446	0	
Tamaki	9/17/2005	SHIRLEY, Ken	ACT	1258	0	
Tamaki	9/17/2005	WEBSTER, Brett	NZF	973	0	
Tamaki	9/17/2005	ROBSON, Matt	Progressive	950	0	
Tamaki	9/17/2005	GRAYDON, Greg	UFNZ	504	0	
Tamaki	9/17/2005	BURCH, Grant	DDP	45	0	
Tamaki Makaurau	9/17/2005	SHARPLES, Pita Russell	Maori	10024	1	
Tamaki Makaurau	9/17/2005	TAMIHERE, John	Labour	7897	0	
Tamaki Makaurau	9/17/2005	HEMAHEMA-TAMATI, Tauwehe	DNZ	675	0	
Tamaki Makaurau	9/17/2005	REREKURA, Sam	I	494	0	
Tamaki Makaurau	9/17/2005	OPAI, Eugene	DDP	57	0	
Taranaki-King Country	9/17/2005	ARDERN, Shane	National	20867	1	
Taranaki-King Country	9/17/2005	STREET, Maryan	Labour	7749	0	
Taranaki-King Country	9/17/2005	COPELAND, Anne	UFNZ	568	0	
Taranaki-King Country	9/17/2005	STEELE, Richard	ACT	547	0	
Taranaki-King Country	9/17/2005	SMITH, William	Progressive	510	0	
Taranaki-King Country	9/17/2005	HARRISON, Tony	DNZ	425	0	
Taranaki-King Country	9/17/2005	JONES, Mark	CHNZ	195	0	
Taupo	9/17/2005	BURTON, Mark	Labour	13211	1	
Taupo	9/17/2005	KIRTON, Weston Mervyn	National	11926	0	
Taupo	9/17/2005	CAMPBELL SMITH, Kristin	NZF	1337	0	
Taupo	9/17/2005	DAVIS, John	GP	751	0	
Taupo	9/17/2005	CHECK, Paul	UFNZ	598	0	
Taupo	9/17/2005	MAEA, Billy	Maori	501	0	
Taupo	9/17/2005	JOLLANDS, Andrew	ACT	275	0	
Taupo	9/17/2005	TE KOWHAI, Charles	DNZ	260	0	
Taupo	9/17/2005	REEKS, David	Progressive	167	0	
Taupo	9/17/2005	POTROZ, Debra	RONZP	11	0	
Tauranga	9/17/2005	CLARKSON, Bob	National	15020	1	
Tauranga	9/17/2005	PETERS, Winston	NZF	14290	0	
Tauranga	9/17/2005	BARRETT, Sally	Labour	4020	0	
Tauranga	9/17/2005	BALDOCK, Larry	UFNZ	1323	0	
Tauranga	9/17/2005	PETERSON, Noel	GP	853	0	
Tauranga	9/17/2005	JENSEN, Neils	DNZ	272	0	
Tauranga	9/17/2005	LALL, Karandeep Singh	Progressive	164	0	
Tauranga	9/17/2005	DENZ, Frances	ACT	61	0	
Tauranga	9/17/2005	WATKINS, Russell	LIB	57	0	
Tauranga	9/17/2005	RANSOM, Katherine	NZDSC	31	0	
Te Atatu	9/17/2005	CARTER, Chris	Labour	18087	1	
Te Atatu	9/17/2005	HENARE, Tau	National	7640	0	
Te Atatu	9/17/2005	DAVIS, Moetu	NZF	1016	0	
Te Atatu	9/17/2005	van KEMPEN, Jo	UFNZ	897	0	
Te Atatu	9/17/2005	DEWAR, Kath	GP	849	0	
Te Atatu	9/17/2005	HAYCOCK, Bruce	ACT	524	0	
Te Atatu	9/17/2005	KOTOISUVA, John	DNZ	446	0	
Te Atatu	9/17/2005	MARTIN, Kelvin	Maori	250	0	
Te Atatu	9/17/2005	ROY, Pavitra	Progressive	226	0	
Te Atatu	9/17/2005	JENKINS, Betty	CHNZ	205	0	
Te Atatu	9/17/2005	van RUYSSEVELT, Bob	Alliance	104	0	
Te Atatu	9/17/2005	HUGHES, Adele	EVP	86	0	
Te Atatu	9/17/2005	BROWNE-KNOWLES, Stella Te Paeru	NZFRP	77	0	
Te Atatu	9/17/2005	TRICHON, Gregory	DDP	56	0	
Te Tai Hauauru	9/17/2005	TURIA, Tariana	Maori	10922	1	
Te Tai Hauauru	9/17/2005	MASON, Errol	Labour	5809	0	
Te Tai Hauauru	9/17/2005	TE WANO, Hemi	DNZ	612	0	
Te Tai Tokerau	9/17/2005	HARAWIRA, Hone Pani Tamati Waka Nene	Maori	9965	1	
Te Tai Tokerau	9/17/2005	SAMUELS, Dover	Labour	6352	0	
Te Tai Tokerau	9/17/2005	MANGU, Mere	I	1250	0	
Te Tai Tokerau	9/17/2005	MORTON, Ernest	DNZ	664	0	
Te Tai Tokerau	9/17/2005	DANIELS, Judy	ALCP	574	0	
Te Tai Tokerau	9/17/2005	MAXWELL, Hana	I	207	0	
Te Tai Tonga	9/17/2005	OKEROA, Mahara	Labour	9015	1	
Te Tai Tonga	9/17/2005	OHIA, Monte	Maori	6512	0	
Te Tai Tonga	9/17/2005	TUREI, Metiria	GP	2296	0	
Te Tai Tonga	9/17/2005	CALDWELL, Russell	Progressive	705	0	
Te Tai Tonga	9/17/2005	SAMUEL, Maru	DNZ	559	0	
Tukituki	9/17/2005	FOSS, Craig	National	17239	1	
Tukituki	9/17/2005	BARKER, Rick	Labour	14837	0	
Tukituki	9/17/2005	EARTH, Liz	GP	1171	0	
Tukituki	9/17/2005	SMITH, Jocelyn	UFNZ	670	0	
Tukituki	9/17/2005	TOMOANA, Ngahiwi	Maori	541	0	
Tukituki	9/17/2005	ORMOND, John	ACT	456	0	
Tukituki	9/17/2005	BURCH, Scott	DDP	49	0	
Waiariki	9/17/2005	FLAVELL, Te Ururoa	Maori	10392	1	
Waiariki	9/17/2005	RIRINUI, Mita	Labour	7521	0	
Waiariki	9/17/2005	VERCOE, Hawea	DNZ	1126	0	
Waimakariri	9/17/2005	COSGROVE, Clayton	Labour	19084	1	
Waimakariri	9/17/2005	WILKINSON, Kate	National	13478	0	
Waimakariri	9/17/2005	MARK, Ron	NZF	4247	0	
Waimakariri	9/17/2005	LIEFTING, Alan	GP	832	0	
Waimakariri	9/17/2005	PICKERING, John	UFNZ	651	0	
Waimakariri	9/17/2005	WRIGHT, John Alexander	Progressive	458	0	
Waimakariri	9/17/2005	BRITNELL, Michael Allan	ALCP	289	0	
Waimakariri	9/17/2005	HOLDAWAY, Rebekah	ACT	196	0	
Waimakariri	9/17/2005	ORME, Jason	DDP	23	0	
Wairarapa	9/17/2005	HAYES, John	National	13681	1	
Wairarapa	9/17/2005	MacKENZIE, Denise	Labour	10929	0	
Wairarapa	9/17/2005	PERRY, Edwin	NZF	5308	0	
Wairarapa	9/17/2005	BLEAKLEY, Claire	GP	1141	0	
Wairarapa	9/17/2005	REEVES, Graeme	UFNZ	364	0	
Wairarapa	9/17/2005	TULLOCH, Graeme	ACT	314	0	
Wairarapa	9/17/2005	WALKER, Cissie	Maori	293	0	
Waitakere	9/17/2005	PILLAY, Lynne	Labour	15325	1	
Waitakere	9/17/2005	BENNETT, Paula	National	10383	0	
Waitakere	9/17/2005	CLENDON, David	GP	1709	0	
Waitakere	9/17/2005	STEWART, Brendan	NZF	1354	0	
Waitakere	9/17/2005	BARAL, Hannah	UFNZ	1035	0	
Waitakere	9/17/2005	RIDDELL, John	ACT	416	0	
Waitakere	9/17/2005	GREEN, Stan	DNZ	394	0	
Waitakere	9/17/2005	PARKYN, David	Progressive	293	0	
Waitakere	9/17/2005	JOE, Charles	Maori	272	0	
Waitakere	9/17/2005	COVICH, Alona	DDP	79	0	
Waitakere	9/17/2005	ULBERG, John Frank	NZFRP	74	0	
Waitakere	9/17/2005	ETHELL, Sandra	Alliance	62	0	
Wellington Central	9/17/2005	HOBBS, Marian	Labour	20199	1	
Wellington Central	9/17/2005	BLUMSKY, Mark	National	14019	0	
Wellington Central	9/17/2005	KEDGLEY, Sue	GP	3737	0	
Wellington Central	9/17/2005	FRANKS, Stephen	ACT	1254	0	
Wellington Central	9/17/2005	McKENZIE, Fiona	UFNZ	593	0	
Wellington Central	9/17/2005	APPLEBY, Michael	ALCP	426	0	
Wellington Central	9/17/2005	SOMERSET, David	Progressive	173	0	
Wellington Central	9/17/2005	HAY, Stephen	ACAP	107	0	
Wellington Central	9/17/2005	DARNTON, Bernard Timothy	LIB	79	0	
Wellington Central	9/17/2005	O'CONNELL, Kane	Alliance	79	0	
West Coast-Tasman	9/17/2005	O'CONNOR, Damien Peter	Labour	15178	1	
West Coast-Tasman	9/17/2005	AUCHINVOLE, Chris	National	13024	0	
West Coast-Tasman	9/17/2005	DAVIES, Richard	GP	1526	0	
West Coast-Tasman	9/17/2005	OSBORNE, Milton	UFNZ	658	0	
West Coast-Tasman	9/17/2005	WILKINSON, Steven	ALCP	515	0	
West Coast-Tasman	9/17/2005	HOLLAND, Lew	Progressive	358	0	
West Coast-Tasman	9/17/2005	BLIGHT, Derek	CHNZ	314	0	
West Coast-Tasman	9/17/2005	GILL, Kevin	ACT	251	0	
Whanganui	9/17/2005	BORROWS, Chester	National	15846	1	
Whanganui	9/17/2005	PETTIS, Jill	Labour	13444	0	
Whanganui	9/17/2005	MILNES, John	GP	1171	0	
Whanganui	9/17/2005	BALL, David	UFNZ	502	0	
Whanganui	9/17/2005	MAKUTU, Aaron	Maori	429	0	
Whanganui	9/17/2005	LUCAS, Debbie	Progressive	371	0	
Whanganui	9/17/2005	BROUGHAM, Ian	ONZ	214	0	
Whanganui	9/17/2005	MURCHIE, Malcolm McGregor	NZDSC	175	0	
Whangarei	9/17/2005	HEATLEY, Phil	National	18900	1	
Whangarei	9/17/2005	CHALMERS, Paul	Labour	9811	0	
Whangarei	9/17/2005	DONNELLY, Brian	NZF	2983	0	
Whangarei	9/17/2005	ARMSTRONG, Moea	GP	1240	0	
Whangarei	9/17/2005	NEWMAN, Muriel	ACT	1067	0	
Whangarei	9/17/2005	TAWHIAO, Rangi Ngati Huna	Maori	384	0	
Whangarei	9/17/2005	SHEPHERD, Viv	Progressive	311	0	
Whangarei	9/17/2005	FORD, Tony	DNZ	178	0	
Whangarei	9/17/2005	HUNT, Craig	UFNZ	168	0	
Whangarei	9/17/2005	HUGHES, Helen Kay	LIB	80	0	
Wigram	9/17/2005	ANDERTON, Jim	Progressive	15961	1	
Wigram	9/17/2005	LOMAX, Allison	National	7413	0	
Wigram	9/17/2005	MORA, Mike	Labour	6408	0	
Wigram	9/17/2005	SUGGATE, Richard Malcolm	GP	1455	0	
Wigram	9/17/2005	ROBERTS, Vanessa	UFNZ	988	0	
Wigram	9/17/2005	ROSWELL, Brian M	NZF	912	0	
Wigram	9/17/2005	EMILE, Tetauru	ACT	203	0	
Wigram	9/17/2005	KINGI, Sam	ACAP	69	0	
Wigram	9/17/2005	DOWIE, Tom	Alliance	61	0	
Wigram	9/17/2005	HANSEN, Michael	NZEE	29	0	
Wigram	9/17/2005	FOLJAMBE, Anton	DDP	20	0	
Auckland Central	11/8/2008	KAYE, Nikki	National	14677	1	
Auckland Central	11/8/2008	TIZARD, Judith	Labour	13180	0	
Auckland Central	11/8/2008	ROCHE, Denise	GP	4592	0	
Auckland Central	11/8/2008	UREN, Scott	ACT	581	0	
Auckland Central	11/8/2008	O'CONNELL, Kevin Patrick	ALCP	349	0	
Auckland Central	11/8/2008	ROBSON, Justin	Progressive	274	0	
Auckland Central	11/8/2008	WOODS, Oliver	RAM	132	0	
Auckland Central	11/8/2008	GALEY-YOUNG, Aaron	UFNZ	128	0	
Auckland Central	11/8/2008	FORDE, Thomas	I	84	0	
Auckland Central	11/8/2008	GREENFIELD, Stephen	I	68	0	
Auckland Central	11/8/2008	RAVLICH, Anthony George	HR	67	0	
Auckland Central	11/8/2008	DIVIS, Sarita	Alliance	39	0	
Auckland Central	11/8/2008	BEVIN, Kerry	RONZP	32	0	
Bay of Plenty	11/8/2008	RYALL, Tony	National	23402	1	
Bay of Plenty	11/8/2008	DEVOY-HEENA, Carol	Labour	5798	0	
Bay of Plenty	11/8/2008	BROWN, Peter	NZF	4087	0	
Bay of Plenty	11/8/2008	CHRISTIANSEN, Tony	KIWI	2258	0	
Bay of Plenty	11/8/2008	DENZ, Frances	ACT	346	0	
Bay of Plenty	11/8/2008	CARTER, Brian	UFNZ	180	0	
Botany	11/8/2008	WONG, Pansy	National	17382	1	
Botany	11/8/2008	TAWA, Koro	Labour	6510	0	
Botany	11/8/2008	WANG, Kenneth	ACT	4717	0	
Botany	11/8/2008	COOPER, Peter	GP	1226	0	
Botany	11/8/2008	CARTER, Judy	UFNZ	428	0	
Botany	11/8/2008	CHEAM, Racheal	Progressive	304	0	
Botany	11/8/2008	KAN, Simon	KIWI	212	0	
Botany	11/8/2008	SUBRAMANIAN, Raj	I	140	0	
Christchurch Central	11/8/2008	BURNS, Brendon	Labour	14078	1	
Christchurch Central	11/8/2008	WAGNER, Nicky	National	13143	0	
Christchurch Central	11/8/2008	McLAUCHLAN, Jan	GP	2708	0	
Christchurch Central	11/8/2008	BAGCHI, Somnath	Progressive	598	0	
Christchurch Central	11/8/2008	BRITNELL, Michael	ALCP	487	0	
Christchurch Central	11/8/2008	SEVERIN, Toni	ACT	482	0	
Christchurch Central	11/8/2008	BEAVEN, Andrew	KIWI	353	0	
Christchurch Central	11/8/2008	CLARK, Byron	WP	164	0	
Christchurch Central	11/8/2008	KLEIS, Greg	Alliance	103	0	
Christchurch East	11/8/2008	DALZIEL, Lianne	Labour	17969	1	
Christchurch East	11/8/2008	GILMORE, Aaron	National	12204	0	
Christchurch East	11/8/2008	MATHERS, Mojo	GP	1843	0	
Christchurch East	11/8/2008	SANDYS, Elspeth	Progressive	575	0	
Christchurch East	11/8/2008	LAMBERT, Paula	ALCP	417	0	
Christchurch East	11/8/2008	LE CREN, Tony	KIWI	378	0	
Christchurch East	11/8/2008	SOLOMON, Maretta	UFNZ	204	0	
Christchurch East	11/8/2008	PIESSE, Paul	Alliance	119	0	
Christchurch East	11/8/2008	PARK, Sevaschan Sam	I	114	0	
Christchurch East	11/8/2008	HOPKINSON, Paul	WP	90	0	
Christchurch East	11/8/2008	McILRAITH, Nick	NZDSC	40	0	
Clutha-Southland	11/8/2008	ENGLISH, Bill	National	22631	1	
Clutha-Southland	11/8/2008	PRYDE, Don	Labour	7156	0	
Clutha-Southland	11/8/2008	GOW, Tim	GP	2304	0	
Clutha-Southland	11/8/2008	HENDERSON, Roly	ACT	590	0	
Clutha-Southland	11/8/2008	TANKARD, Paul	FAM	515	0	
Clutha-Southland	11/8/2008	HUBBARD, Marvin	Alliance	149	0	
Coromandel	11/8/2008	GOUDIE, Sandra	National	22653	1	
Coromandel	11/8/2008	KININMONTH, Hugh	Labour	8093	0	
Coromandel	11/8/2008	REDWOOD, James	GP	4201	0	
Coromandel	11/8/2008	BASSETT, Ray	ACT	624	0	
Coromandel	11/8/2008	RUREHE, Huey	KIWI	360	0	
Dunedin North	11/8/2008	HODGSON, Pete	Labour	17127	1	
