Electorate	Date	Candidate	Party	Votes	Elected	IncumbentOverride
Wairarapa	11/30/1949	Hansen GA	Labour	6633	0	
Waitakere	11/30/1949	Mason HGR	Labour	8341	1	
Waitakere	11/30/1949	Tapper R	National	7411	0	
Waitakere	11/30/1949	Jackson GE	C	386	0	
Waitomo	11/30/1949	Broadfoot WJ	National	9026	1	
Waitomo	11/30/1949	Kitts FJ	Labour	3947	0	
Wallace	11/30/1949	MacDonald TL	National	8379	1	
Wallace	11/30/1949	Freeman HV	Labour	3868	0	
Wellington Central	11/30/1949	Chapman CH	Labour	5078	1	
Wellington Central	11/30/1949	Appleton W	National	4503	0	
Western Maori	11/30/1949	Ratana IM	Labour	9069	1	
Western Maori	11/30/1949	Marumaru HTU	National	2752	0	
Western Maori	11/30/1949	Matthews GN	I	326	0	
Western Maori	11/30/1949	Wirihana TT	I	302	0	
Western Maori	11/30/1949	Nutana K	K	219	0	
Western Maori	11/30/1949	Wakurua WU	I	154	0	
Western Maori	11/30/1949	Tana T	I	122	0	
Western Maori	11/30/1949	Amohanga PRMM	I	116	0	
Western Maori	11/30/1949	Hovell HT	I	116	0	
Western Maori	11/30/1949	Rangitaura RM	I	116	0	
Westland	11/30/1949	Kent JB	Labour	8013	1	
Westland	11/30/1949	O'Regan PJ	National	5269	0	
Westland	11/30/1949	Mitchell RH	C	338	0	
Whanganui	11/30/1949	Cotterill JBF	Labour	7336	1	
Whanganui	11/30/1949	OÍKeefe EV	National	6317	0	
Brooklyn	2/17/1951	Nordmeyer AH	Labour	5287	1	
Brooklyn	2/17/1951	Jacobsen LT	National	2902	0	
Brooklyn	2/17/1951	Birchfield C	C	129	0	
Arch Hull	9/1/1951	Stewart JS	Labour	7311	1	
Arch Hull	9/1/1951	Hope TPB	National	3346	0	
Arch Hull	9/1/1951	Wilcox VG	C	173	0	
Ashburton	9/1/1951	Gerard RG	National	7812	1	
Ashburton	9/1/1951	Rose WE	Labour	4945	0	
Auckland Central	9/1/1951	Anderton WT	Labour	5097	1	
Auckland Central	9/1/1951	Hillyer PG	National	2929	0	
Auckland Central	9/1/1951	Mitchell JJ	C	135	0	
Avon	9/1/1951	Mathison J	Labour	10001	1	
Avon	9/1/1951	Russell DW	National	5789	0	
